evidence_cohort,comparison_id,dataset,model,comparator_method_id,reference_method_id,metric,paired_sample_definition,effect_size,ci_lower,ci_upper,raw_p_value,holm_adjusted_p_value,significant,direction,status,reason,interpretation,source_artifact,source_sha256
prompt14_classical_extension,p14-b-044__lendingclub_v2__catboost__mrmr_mutual_information__k40__vs__full_features,lendingclub_v2,catboost,mrmr_mutual_information,full_features,roc_auc,identical 293105 OOT rows / 68252 events,-0.020949614852644,-0.0219528252415279,-0.0199014673284214,0,0,True,loss,completed,,not_supported,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-b-045__lendingclub_v2__catboost__lasso_l1_logistic__k40__vs__full_features,lendingclub_v2,catboost,lasso_l1_logistic,full_features,roc_auc,identical 293105 OOT rows / 68252 events,-0.0133464265294374,-0.0141392960208969,-0.0125662987949056,9.19439955998193e-247,2.75831986799458e-246,True,loss,completed,,not_supported,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-b-046__lendingclub_v2__catboost__legacy_rf_relevance_corr__k40__vs__full_features,lendingclub_v2,catboost,legacy_rf_relevance_corr,full_features,roc_auc,identical 293105 OOT rows / 68252 events,-0.0157795465747904,-0.0165391003810612,-0.015024366692199,0,0,True,loss,completed,,not_supported,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-b-047__lendingclub_v2__catboost__catboost_shap__k40__vs__full_features,lendingclub_v2,catboost,catboost_shap,full_features,roc_auc,identical 293105 OOT rows / 68252 events,-0.007824247267779,-0.0083803344298624,-0.0072183402847411,2.8323606120921e-147,5.6647212241842e-147,True,loss,completed,,not_supported,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-b-048__lendingclub_v2__catboost__boruta_random_forest__k40__vs__full_features,lendingclub_v2,catboost,boruta_random_forest,full_features,roc_auc,identical 293105 OOT rows / 68252 events,-0.0372261413920005,-0.0387933817604765,-0.0356752070999981,0,0,True,loss,completed,,not_supported,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-b-049__lendingclub_v2__catboost__rfe_catboost__k40__vs__full_features,lendingclub_v2,catboost,rfe_catboost,full_features,roc_auc,identical 293105 OOT rows / 68252 events,-0.0040115766619884,-0.0044993908529437,-0.0035200664225583,3.31705365661633e-57,3.31705365661633e-57,True,loss,completed,,not_supported,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-b-050__lendingclub_v2__catboost__iv_woe__k40__vs__random_k,lendingclub_v2,catboost,iv_woe,random_k,roc_auc,identical 293105 OOT rows / 68252 events,0.0308269978983962,0.0289412443593397,0.0327603870235444,1.8118189705723e-240,5.4354569117169e-240,True,win,completed,,strong,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-b-051__lendingclub_v2__catboost__mrmr_mutual_information__k40__vs__random_k,lendingclub_v2,catboost,mrmr_mutual_information,random_k,roc_auc,identical 293105 OOT rows / 68252 events,0.0301779296004682,0.0283061749056308,0.0320105121332509,3.47868511652183e-233,6.95737023304366e-233,True,win,completed,,strong,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-b-052__lendingclub_v2__catboost__lasso_l1_logistic__k40__vs__random_k,lendingclub_v2,catboost,lasso_l1_logistic,random_k,roc_auc,identical 293105 OOT rows / 68252 events,0.0377811179236748,0.0358576127525107,0.0396861918891699,0,0,True,win,completed,,strong,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-b-053__lendingclub_v2__catboost__legacy_rf_relevance_corr__k40__vs__random_k,lendingclub_v2,catboost,legacy_rf_relevance_corr,random_k,roc_auc,identical 293105 OOT rows / 68252 events,0.0353479978783218,0.0334930022931813,0.0372520507344747,0,0,True,win,completed,,strong,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-b-054__lendingclub_v2__catboost__catboost_shap__k40__vs__random_k,lendingclub_v2,catboost,catboost_shap,random_k,roc_auc,identical 293105 OOT rows / 68252 events,0.0433032971853332,0.0414337326908236,0.0451240724083906,0,0,True,win,completed,,strong,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-b-055__lendingclub_v2__catboost__boruta_random_forest__k40__vs__random_k,lendingclub_v2,catboost,boruta_random_forest,random_k,roc_auc,identical 293105 OOT rows / 68252 events,0.0139014030611117,0.0122956205745525,0.0155112847064771,2.26145333932195e-68,2.26145333932195e-68,True,win,completed,,strong,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-b-056__lendingclub_v2__catboost__rfe_catboost__k40__vs__random_k,lendingclub_v2,catboost,rfe_catboost,random_k,roc_auc,identical 293105 OOT rows / 68252 events,0.0471159677911238,0.0453298639336159,0.0489557301858477,0,0,True,win,completed,,strong,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-c-001__homecredit__lr__statistical_normalized_average_rank__k20__vs__iv_woe,homecredit,lr,statistical_normalized_average_rank,iv_woe,roc_auc,identical 120053 OOT rows / 10688 events,0.011567089213426,0.0093894578231412,0.0137238837542306,7.03346072356007e-24,7.03346072356007e-24,True,win,completed,,strong,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-c-002__homecredit__lr__statistical_normalized_average_rank__k20__vs__lasso_l1_logistic,homecredit,lr,statistical_normalized_average_rank,lasso_l1_logistic,roc_auc,identical 120053 OOT rows / 10688 events,0.0043645581556678,0.002337854358318,0.0064170072923348,4.61798529145987e-05,4.61798529145987e-05,True,win,completed,,strong,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-c-003__homecredit__lr__statistical_normalized_average_rank__k20__vs__rfe_catboost,homecredit,lr,statistical_normalized_average_rank,rfe_catboost,roc_auc,identical 120053 OOT rows / 10688 events,0.0031678182860721,0.0014557399824545,0.0050560403033256,0.0006980025298813,0.0013960050597626,True,win,completed,,strong,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-c-004__homecredit__lr__statistical_normalized_average_rank__k20__vs__boruta_random_forest,homecredit,lr,statistical_normalized_average_rank,boruta_random_forest,roc_auc,identical 120053 OOT rows / 10688 events,0.0099756742515517,0.0077631620203222,0.0122258549823613,4.97135790411273e-19,1.49140737123382e-18,True,win,completed,,strong,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-c-005__homecredit__lr__statistical_normalized_average_rank__k20__vs__catboost_shap,homecredit,lr,statistical_normalized_average_rank,catboost_shap,roc_auc,identical 120053 OOT rows / 10688 events,-0.0004159328100075,-0.0014479966525939,0.0006539553419562,0.428598909226421,0.428598909226421,False,loss,completed,,not_supported,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-c-006__homecredit__lr__statistical_normalized_average_rank__k20__vs__mrmr_mutual_information,homecredit,lr,statistical_normalized_average_rank,mrmr_mutual_information,roc_auc,identical 120053 OOT rows / 10688 events,0.0145981567587633,0.0119580790457557,0.0173902544015315,1.37998922899686e-24,2.75997845799373e-24,True,win,completed,,strong,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-c-007__homecredit__lr__statistical_normalized_average_rank__k20__vs__cross_dataset_rank_voting_v1_primary_pool_200,homecredit,lr,statistical_normalized_average_rank,cross_dataset_rank_voting_v1_primary_pool_200,roc_auc,identical 120053 OOT rows / 10688 events,0.0004760469460201,-0.0010804794753176,0.0021282517900353,0.563294776137858,0.563294776137858,False,win,completed,,weak,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-c-008__homecredit__lr__iv_then_boruta__pool100__vs__iv_woe,homecredit,lr,iv_then_boruta,iv_woe,roc_auc,identical 120053 OOT rows / 10688 events,0.0179941276410284,0.0156993210807846,0.0200848733073217,3.50592057154616e-53,7.01184114309232e-53,True,win,completed,,strong,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-c-009__homecredit__lr__iv_then_boruta__pool100__vs__boruta_random_forest,homecredit,lr,iv_then_boruta,boruta_random_forest,roc_auc,identical 120053 OOT rows / 10688 events,0.0164027126791541,0.0133216322635212,0.019197524813047,1.68770815664279e-27,6.75083262657117e-27,True,win,completed,,strong,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-c-010__homecredit__lr__iv_then_boruta__pool200__vs__iv_woe,homecredit,lr,iv_then_boruta,iv_woe,roc_auc,identical 120053 OOT rows / 10688 events,0.0238758878142768,0.0213708609432143,0.0264107102024861,4.13754994329882e-71,1.24126498298965e-70,True,win,completed,,strong,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-c-011__homecredit__lr__iv_then_boruta__pool200__vs__boruta_random_forest,homecredit,lr,iv_then_boruta,boruta_random_forest,roc_auc,identical 120053 OOT rows / 10688 events,0.0222844728524025,0.019410179093192,0.025204545048567,3.44534368170234e-49,1.72267184085117e-48,True,win,completed,,strong,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-c-012__homecredit__lr__iv_then_boruta__pool300__vs__iv_woe,homecredit,lr,iv_then_boruta,iv_woe,roc_auc,identical 120053 OOT rows / 10688 events,0.0264231540690392,0.0237131820058963,0.0291244629791301,4.77279251368899e-76,1.9091170054756e-75,True,win,completed,,strong,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-c-013__homecredit__lr__iv_then_boruta__pool300__vs__boruta_random_forest,homecredit,lr,iv_then_boruta,boruta_random_forest,roc_auc,identical 120053 OOT rows / 10688 events,0.0248317391071649,0.0219619134425224,0.0275820160529305,2.37356006678484e-64,1.42413604007091e-63,True,win,completed,,strong,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-c-014__homecredit__lr__boruta_then_mrmr_mutual_information__k20__vs__boruta_random_forest,homecredit,lr,boruta_then_mrmr_mutual_information,boruta_random_forest,roc_auc,identical 120053 OOT rows / 10688 events,0.0041075320898458,0.0021876734333075,0.0061313551918245,2.5994282003148e-05,2.5994282003148e-05,True,win,completed,,strong,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-c-015__homecredit__lr__boruta_then_mrmr_mutual_information__k20__vs__mrmr_mutual_information,homecredit,lr,boruta_then_mrmr_mutual_information,mrmr_mutual_information,roc_auc,identical 120053 OOT rows / 10688 events,0.0087300145970573,0.0068537466881488,0.010659212388041,3.41382583631352e-19,3.41382583631352e-19,True,win,completed,,strong,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-c-016__homecredit__lr__boruta_then_rfe_catboost__k20__vs__boruta_random_forest,homecredit,lr,boruta_then_rfe_catboost,boruta_random_forest,roc_auc,identical 120053 OOT rows / 10688 events,0.008047266973391,0.0055171232849758,0.0106089928692539,4.03735462772507e-10,8.07470925545013e-10,True,win,completed,,strong,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-c-017__homecredit__lr__boruta_then_rfe_catboost__k20__vs__rfe_catboost,homecredit,lr,boruta_then_rfe_catboost,rfe_catboost,roc_auc,identical 120053 OOT rows / 10688 events,0.0012394110079114,-0.0006442058834258,0.0030286177704596,0.18358541527114,0.18358541527114,False,win,completed,,weak,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-c-018__homecredit__catboost__statistical_normalized_average_rank__k40__vs__iv_woe,homecredit,catboost,statistical_normalized_average_rank,iv_woe,roc_auc,identical 120053 OOT rows / 10688 events,0.0100220617262252,0.0082715980910214,0.0117596665938113,9.22413207378172e-29,2.76723962213452e-28,True,win,completed,,strong,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-c-019__homecredit__catboost__statistical_normalized_average_rank__k40__vs__lasso_l1_logistic,homecredit,catboost,statistical_normalized_average_rank,lasso_l1_logistic,roc_auc,identical 120053 OOT rows / 10688 events,0.0043665609050723,0.0025830546851024,0.0062830580695008,2.99263279141781e-06,2.99263279141781e-06,True,win,completed,,strong,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-c-020__homecredit__catboost__statistical_normalized_average_rank__k40__vs__rfe_catboost,homecredit,catboost,statistical_normalized_average_rank,rfe_catboost,roc_auc,identical 120053 OOT rows / 10688 events,-0.0028327517232713,-0.0044670921238719,-0.0011306336972878,0.0005623601922181,0.0005623601922181,True,loss,completed,,not_supported,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-c-021__homecredit__catboost__statistical_normalized_average_rank__k40__vs__boruta_random_forest,homecredit,catboost,statistical_normalized_average_rank,boruta_random_forest,roc_auc,identical 120053 OOT rows / 10688 events,0.0243902727393929,0.0217039777768561,0.0270163476751407,1.0150915951349e-73,5.07545797567448e-73,True,win,completed,,strong,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-c-022__homecredit__catboost__statistical_normalized_average_rank__k40__vs__catboost_shap,homecredit,catboost,statistical_normalized_average_rank,catboost_shap,roc_auc,identical 120053 OOT rows / 10688 events,-0.0009424274821636,-0.0029103609147771,0.0010186264506374,0.32259529167089,0.32259529167089,False,loss,completed,,not_supported,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-c-023__homecredit__catboost__statistical_normalized_average_rank__k40__vs__mrmr_mutual_information,homecredit,catboost,statistical_normalized_average_rank,mrmr_mutual_information,roc_auc,identical 120053 OOT rows / 10688 events,0.0186939880354501,0.0160797771442097,0.0212376004916513,3.22584114390482e-44,6.45168228780965e-44,True,win,completed,,strong,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-c-024__homecredit__catboost__statistical_normalized_average_rank__k40__vs__cross_dataset_rank_voting_v1_primary_pool_200,homecredit,catboost,statistical_normalized_average_rank,cross_dataset_rank_voting_v1_primary_pool_200,roc_auc,identical 120053 OOT rows / 10688 events,2.11037258907032e-05,-0.0014510153417619,0.0016040029818979,0.9778560571497,0.9778560571497,False,win,completed,,weak,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-c-025__homecredit__catboost__iv_then_boruta__pool100__vs__iv_woe,homecredit,catboost,iv_then_boruta,iv_woe,roc_auc,identical 120053 OOT rows / 10688 events,6.31991058344106e-05,-0.0018359748537145,0.0019472987829717,0.948912704458256,0.948912704458256,False,win,completed,,weak,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-c-026__homecredit__catboost__iv_then_boruta__pool100__vs__boruta_random_forest,homecredit,catboost,iv_then_boruta,boruta_random_forest,roc_auc,identical 120053 OOT rows / 10688 events,0.0144314101190021,0.0114084428223856,0.0174207988537053,2.84787748397999e-21,2.84787748397999e-21,True,win,completed,,strong,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-c-027__homecredit__catboost__iv_then_boruta__pool200__vs__iv_woe,homecredit,catboost,iv_then_boruta,iv_woe,roc_auc,identical 120053 OOT rows / 10688 events,0.0080819758781709,0.0063890737717748,0.0098057734953559,3.46054234170735e-18,6.92108468341469e-18,True,win,completed,,strong,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-c-028__homecredit__catboost__iv_then_boruta__pool200__vs__boruta_random_forest,homecredit,catboost,iv_then_boruta,boruta_random_forest,roc_auc,identical 120053 OOT rows / 10688 events,0.0224501868913387,0.019679577012995,0.025210825669844,1.39455959986442e-58,5.57823839945767e-58,True,win,completed,,strong,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-c-029__homecredit__catboost__iv_then_boruta__pool300__vs__iv_woe,homecredit,catboost,iv_then_boruta,iv_woe,roc_auc,identical 120053 OOT rows / 10688 events,0.0111205548031627,0.00926077071529,0.0129263323921351,3.02545405791364e-31,1.21018162316545e-30,True,win,completed,,strong,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-c-030__homecredit__catboost__iv_then_boruta__pool300__vs__boruta_random_forest,homecredit,catboost,iv_then_boruta,boruta_random_forest,roc_auc,identical 120053 OOT rows / 10688 events,0.0254887658163305,0.0227274543929216,0.0282006506505915,1.46356516826599e-76,8.78139100959595e-76,True,win,completed,,strong,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-c-031__homecredit__catboost__boruta_then_mrmr_mutual_information__k40__vs__boruta_random_forest,homecredit,catboost,boruta_then_mrmr_mutual_information,boruta_random_forest,roc_auc,identical 120053 OOT rows / 10688 events,0.0170748408545684,0.0143695270659134,0.0196714568308863,2.58388327891368e-35,5.16776655782735e-35,True,win,completed,,strong,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-c-032__homecredit__catboost__boruta_then_mrmr_mutual_information__k40__vs__mrmr_mutual_information,homecredit,catboost,boruta_then_mrmr_mutual_information,mrmr_mutual_information,roc_auc,identical 120053 OOT rows / 10688 events,0.0113785561506256,0.0089743951739574,0.0138684654932351,7.4923519997555e-21,7.4923519997555e-21,True,win,completed,,strong,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-c-033__homecredit__catboost__boruta_then_rfe_catboost__k40__vs__boruta_random_forest,homecredit,catboost,boruta_then_rfe_catboost,boruta_random_forest,roc_auc,identical 120053 OOT rows / 10688 events,0.0217065466173673,0.0188601606920229,0.024456346894231,9.84234369096265e-55,2.95270310728879e-54,True,win,completed,,strong,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-c-034__homecredit__catboost__boruta_then_rfe_catboost__k40__vs__rfe_catboost,homecredit,catboost,boruta_then_rfe_catboost,rfe_catboost,roc_auc,identical 120053 OOT rows / 10688 events,-0.0055164778452969,-0.0070504940391812,-0.0039955854133182,1.7099811338308e-13,3.4199622676616e-13,True,loss,completed,,not_supported,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-c-035__lendingclub_v2__lr__statistical_normalized_average_rank__k20__vs__iv_woe,lendingclub_v2,lr,statistical_normalized_average_rank,iv_woe,roc_auc,identical 293105 OOT rows / 68252 events,0.0110227874550873,0.0100233058269933,0.0119974477188035,6.43148274393042e-104,6.43148274393042e-104,True,win,completed,,strong,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-c-036__lendingclub_v2__lr__statistical_normalized_average_rank__k20__vs__lasso_l1_logistic,lendingclub_v2,lr,statistical_normalized_average_rank,lasso_l1_logistic,roc_auc,identical 293105 OOT rows / 68252 events,0.0120291341129172,0.0109056734504534,0.0131278687631409,1.55050058868401e-97,1.55050058868401e-97,True,win,completed,,strong,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-c-037__lendingclub_v2__lr__statistical_normalized_average_rank__k20__vs__rfe_catboost,lendingclub_v2,lr,statistical_normalized_average_rank,rfe_catboost,roc_auc,identical 293105 OOT rows / 68252 events,-0.0057479259993656,-0.0064693272428241,-0.005055598713059,1.25297271108917e-55,2.50594542217834e-55,True,loss,completed,,not_supported,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-c-038__lendingclub_v2__lr__statistical_normalized_average_rank__k20__vs__boruta_random_forest,lendingclub_v2,lr,statistical_normalized_average_rank,boruta_random_forest,roc_auc,identical 293105 OOT rows / 68252 events,0.0373849921057738,0.0353234034842373,0.0393227277765068,2.62788576366501e-318,5.25577152733001e-318,True,win,completed,,strong,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-c-039__lendingclub_v2__lr__statistical_normalized_average_rank__k20__vs__catboost_shap,lendingclub_v2,lr,statistical_normalized_average_rank,catboost_shap,roc_auc,identical 293105 OOT rows / 68252 events,-0.003409501629899,-0.0041615877853549,-0.0027062973124117,3.40299130294539e-20,3.40299130294539e-20,True,loss,completed,,not_supported,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-c-040__lendingclub_v2__lr__statistical_normalized_average_rank__k20__vs__mrmr_mutual_information,lendingclub_v2,lr,statistical_normalized_average_rank,mrmr_mutual_information,roc_auc,identical 293105 OOT rows / 68252 events,0.0072090375269886,0.0059444789208338,0.0084149413294598,8.21171020202433e-31,8.21171020202433e-31,True,win,completed,,strong,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-c-041__lendingclub_v2__lr__statistical_normalized_average_rank__k20__vs__cross_dataset_rank_voting_v1_primary_pool_200,lendingclub_v2,lr,statistical_normalized_average_rank,cross_dataset_rank_voting_v1_primary_pool_200,roc_auc,identical 293105 OOT rows / 68252 events,-0.0019721281556948,-0.0026003998312413,-0.0013293991886638,1.1788882628057e-09,1.1788882628057e-09,True,loss,completed,,not_supported,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-c-042__lendingclub_v2__lr__iv_then_boruta__pool100__vs__iv_woe,lendingclub_v2,lr,iv_then_boruta,iv_woe,roc_auc,identical 293105 OOT rows / 68252 events,0.0206850796925575,0.0194933652178488,0.0218324479273335,1.18783099968092e-268,2.37566199936185e-268,True,win,completed,,strong,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
prompt14_classical_extension,p14-c-043__lendingclub_v2__lr__iv_then_boruta__pool100__vs__boruta_random_forest,lendingclub_v2,lr,iv_then_boruta,boruta_random_forest,roc_auc,identical 293105 OOT rows / 68252 events,0.047047284343244,0.0449557668061119,0.0490437886615984,0,0,True,win,completed,,strong,cleanup/audits/prompt_14_two_dataset_oot_review_v3/paired_comparisons.csv,61f0fec03293ce43272aaec5294f9efa3f504ef8e1c4e1a129e6421577fa9756
