source_table_family,relational_depth,feature_name,description,observed_dtype,logical_type,intended_aggregation,decision_time_availability,action,reason,deterministic_output_prefix
credit_bureau_a,1,outstandingamount_354A,Outstanding amount for closed credit contract in credit bureau.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_a__outstandingamount_354A
credit_bureau_a,1,outstandingamount_362A,Active contract's outstanding amount.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_a__outstandingamount_362A
credit_bureau_a,1,overdueamount_31A,Past due amount for a closed contract.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_a__overdueamount_31A
credit_bureau_a,1,overdueamount_659A,Past due amount for active contract.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_a__overdueamount_659A
credit_bureau_a,1,overdueamountmax2_14A,Maximal past due amount for an active contract.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_a__overdueamountmax2_14A
credit_bureau_a,1,overdueamountmax2_398A,Maximal overdue amount for a closed contract.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_a__overdueamountmax2_398A
credit_bureau_a,1,overdueamountmax2date_1002D,Date of maximal past due amount for a closed contract,string,date,parse_date_then_signed_days_from_date_decision;count_non_missing|missing_count|min|max|mean|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_a__overdueamountmax2date_1002D
credit_bureau_a,1,overdueamountmax2date_1142D,Date of maximal past due amount for an active contract.,string,date,parse_date_then_signed_days_from_date_decision;count_non_missing|missing_count|min|max|mean|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_a__overdueamountmax2date_1142D
credit_bureau_a,1,overdueamountmax_155A,Maximal past due amount for active contract.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_a__overdueamountmax_155A
credit_bureau_a,1,overdueamountmax_35A,Maximal past due amount for a closed contract.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_a__overdueamountmax_35A
credit_bureau_a,1,overdueamountmaxdatemonth_284T,Month when the maximum past due amount occurred for a closed contract.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_a__overdueamountmaxdatemonth_284T
credit_bureau_a,1,overdueamountmaxdatemonth_365T,Month when maximum past due amount occurred for an active contract.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_a__overdueamountmaxdatemonth_365T
credit_bureau_a,1,overdueamountmaxdateyear_2T,Year when the maximum past due amount occurred for active contracts.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_a__overdueamountmaxdateyear_2T
credit_bureau_a,1,overdueamountmaxdateyear_994T,Year when maximum past due amount occurred for closed contract.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_a__overdueamountmaxdateyear_994T
credit_bureau_a,1,periodicityofpmts_1102L,Frequency of instalments for a closed contract.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_a__periodicityofpmts_1102L
credit_bureau_a,1,periodicityofpmts_837L,Frequency of instalments for an active contract.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_a__periodicityofpmts_837L
credit_bureau_a,1,prolongationcount_1120L,Count of prolongations on terminated contract according to credit bureau.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_a__prolongationcount_1120L
credit_bureau_a,1,prolongationcount_599L,Count of active contract prolongations.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_a__prolongationcount_599L
credit_bureau_a,1,purposeofcred_426M,Purpose of credit for active contract.,string,categorical,count_non_missing|missing_count|nunique|lexical_mode|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_a__purposeofcred_426M
credit_bureau_a,1,purposeofcred_874M,Purpose of credit on a closed contract.,string,categorical,count_non_missing|missing_count|nunique|lexical_mode|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_a__purposeofcred_874M
credit_bureau_a,1,refreshdate_3813885D,Date when the credit bureau's public sources have been last updated.,string,date,parse_date_then_signed_days_from_date_decision;count_non_missing|missing_count|min|max|mean|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_a__refreshdate_3813885D
credit_bureau_a,1,residualamount_488A,Residual amount of a closed contract.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_a__residualamount_488A
credit_bureau_a,1,residualamount_856A,Residual amount for the active contract.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_a__residualamount_856A
credit_bureau_a,1,subjectrole_182M,Subject role in active credit contract.,string,categorical,count_non_missing|missing_count|nunique|lexical_mode|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_a__subjectrole_182M
credit_bureau_a,1,subjectrole_93M,Subject role in closed credit contract.,string,categorical,count_non_missing|missing_count|nunique|lexical_mode|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_a__subjectrole_93M
credit_bureau_a,1,totalamount_6A,Total amount of closed contracts.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_a__totalamount_6A
credit_bureau_a,1,totalamount_996A,Total amount of active contracts in the credit bureau.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_a__totalamount_996A
credit_bureau_a,1,totaldebtoverduevalue_178A,Total amount of past due debt on active contracts.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_a__totaldebtoverduevalue_178A
credit_bureau_a,1,totaldebtoverduevalue_718A,Total overdue debt amount for closed credit contracts.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_a__totaldebtoverduevalue_718A
credit_bureau_a,1,totaloutstanddebtvalue_39A,Total outstanding debt for active contracts in the credit bureau.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_a__totaloutstanddebtvalue_39A
credit_bureau_a,1,totaloutstanddebtvalue_668A,Total outstanding debt for the closed contracts in the credit bureau.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_a__totaloutstanddebtvalue_668A
credit_bureau_b,1,case_id,Stable case identifier.,int64,identifier,group_key_only,structural_identifier_not_predictor,exclude,stable row/join identifier; predictor use forbidden,
credit_bureau_b,1,amount_1115A,Credit amount of the active contract provided by the credit bureau.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_b__amount_1115A
credit_bureau_b,1,classificationofcontr_1114M,Classificiation of the active contract.,string,categorical,count_non_missing|missing_count|nunique|lexical_mode|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_b__classificationofcontr_1114M
credit_bureau_b,1,contractdate_551D,Contract date of the active contract,string,date,parse_date_then_signed_days_from_date_decision;count_non_missing|missing_count|min|max|mean|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_b__contractdate_551D
credit_bureau_b,1,contractmaturitydate_151D,End date of active contract.,string,date,parse_date_then_signed_days_from_date_decision;count_non_missing|missing_count|min|max|mean|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_b__contractmaturitydate_151D
credit_bureau_b,1,contractst_516M,Contract status.,string,categorical,count_non_missing|missing_count|nunique|lexical_mode|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_b__contractst_516M
credit_bureau_b,1,contracttype_653M,Contract Type,string,categorical,count_non_missing|missing_count|nunique|lexical_mode|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_b__contracttype_653M
credit_bureau_b,1,credlmt_1052A,Credit limit of an active loan.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_b__credlmt_1052A
credit_bureau_b,1,credlmt_228A,Credit limit for closed loans.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_b__credlmt_228A
credit_bureau_b,1,credlmt_3940954A,Credit limit for active loan.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_b__credlmt_3940954A
credit_bureau_b,1,credor_3940957M,Creditor's name,string,categorical,count_non_missing|missing_count|nunique|lexical_mode|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_b__credor_3940957M
credit_bureau_b,1,credquantity_1099L,Number of credits in credit bureau,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_b__credquantity_1099L
credit_bureau_b,1,credquantity_984L,Number of closed credits in credit bureau.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_b__credquantity_984L
credit_bureau_b,1,debtpastduevalue_732A,Amount of unpaid debt for existing contracts.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_b__debtpastduevalue_732A
credit_bureau_b,1,debtvalue_227A,Outstanding amount for existing debt contracts.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_b__debtvalue_227A
credit_bureau_b,1,dpd_550P,The number of days past due for active loans where a guarantee has been provided.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_b__dpd_550P
credit_bureau_b,1,dpd_733P,Days past due (DPD) for guaranteed loans that were terminated according to credit bureau data.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_b__dpd_733P
credit_bureau_b,1,dpdmax_851P,Maximal past due days for active contracts in the credit bureau.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_b__dpdmax_851P
credit_bureau_b,1,dpdmaxdatemonth_804T,Month when the maximum Day Past Due (DPD) occurred for active contracts on credit bureau's records.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_b__dpdmaxdatemonth_804T
credit_bureau_b,1,dpdmaxdateyear_742T,Year of the maximum Days Past Due (DPD) on an active credit contract in the credit bureau.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_b__dpdmaxdateyear_742T
credit_bureau_b,1,installmentamount_644A,Instalment amount of a closed and secured credit contract.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_b__installmentamount_644A
credit_bureau_b,1,installmentamount_833A,Instalment amount for a secured and active contract in credit bureau.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_b__installmentamount_833A
credit_bureau_b,1,instlamount_892A,Instalment amount for active credit contract.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_b__instlamount_892A
credit_bureau_b,1,interesteffectiverate_369L,Interest rate on active contract.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_b__interesteffectiverate_369L
credit_bureau_b,1,interestrateyearly_538L,Annual interest rate for existing contract obtained from credit bureau.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_b__interestrateyearly_538L
credit_bureau_b,1,lastupdate_260D,Last update date for the active contracts.,string,date,parse_date_then_signed_days_from_date_decision;count_non_missing|missing_count|min|max|mean|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_b__lastupdate_260D
credit_bureau_b,1,maxdebtpduevalodued_3940955A,Days past due at the time of the maximum debt.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_b__maxdebtpduevalodued_3940955A
credit_bureau_b,1,num_group1,Relational row-order/group identifier.,int64,order_identifier,stable_sort_key_only_not_aggregated_as_measurement,relational_order_identifier_not_predictor,exclude,row/group order identifier; used only for deterministic ordering,
credit_bureau_b,1,numberofinstls_810L,Number of instalments for the active contract.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_b__numberofinstls_810L
credit_bureau_b,1,overdueamountmax_950A,Maximal past due amount for active contract.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_b__overdueamountmax_950A
credit_bureau_b,1,overdueamountmaxdatemonth_494T,Month when the maximum past due amount was recorded for an active contract with the credit bureau.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_b__overdueamountmaxdatemonth_494T
credit_bureau_b,1,overdueamountmaxdateyear_432T,Year when max past due amount occurred for active contract.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_b__overdueamountmaxdateyear_432T
credit_bureau_b,1,periodicityofpmts_997L,Frequency of instalments for active credit contracts.,string,categorical,count_non_missing|missing_count|nunique|lexical_mode|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_b__periodicityofpmts_997L
credit_bureau_b,1,periodicityofpmts_997M,Frequency of instalments for active credit contracts.,string,categorical,count_non_missing|missing_count|nunique|lexical_mode|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_b__periodicityofpmts_997M
credit_bureau_b,1,pmtdaysoverdue_1135P,Number of days past due for existing contracts in the credit bureau.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_b__pmtdaysoverdue_1135P
credit_bureau_b,1,pmtmethod_731M,Instalment payment method for existing contract in credit bureau.,string,categorical,count_non_missing|missing_count|nunique|lexical_mode|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_b__pmtmethod_731M
credit_bureau_b,1,pmtnumpending_403L,Number of pending payments for active contract.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_b__pmtnumpending_403L
credit_bureau_b,1,purposeofcred_722M,Purpose of credit for active contracts.,string,categorical,count_non_missing|missing_count|nunique|lexical_mode|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_b__purposeofcred_722M
credit_bureau_b,1,residualamount_1093A,Residual amount of closed guarantee contract.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_b__residualamount_1093A
credit_bureau_b,1,residualamount_127A,Residual amount of active guarantee contract.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_b__residualamount_127A
credit_bureau_b,1,residualamount_3940956A,Residual amount for the active contract.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_b__residualamount_3940956A
credit_bureau_b,1,subjectrole_326M,Subject role in active credit contract.,string,categorical,count_non_missing|missing_count|nunique|lexical_mode|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_b__subjectrole_326M
credit_bureau_b,1,subjectrole_43M,Subject role in closed credit contract.,string,categorical,count_non_missing|missing_count|nunique|lexical_mode|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_b__subjectrole_43M
credit_bureau_b,1,totalamount_503A,Total amount of active secured credit for a client.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_b__totalamount_503A
credit_bureau_b,1,totalamount_881A,Total amount of secured credit from closed contracts.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__credit_bureau_b__totalamount_881A
debitcard,1,case_id,Stable case identifier.,int64,identifier,group_key_only,structural_identifier_not_predictor,exclude,stable row/join identifier; predictor use forbidden,
debitcard,1,last180dayaveragebalance_704A,Average balance on debit card in the last 180 days.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__debitcard__last180dayaveragebalance_704A
debitcard,1,last180dayturnover_1134A,Debit card's turnover within the last 180 days.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__debitcard__last180dayturnover_1134A
debitcard,1,last30dayturnover_651A,Debit card turnover for the last 30 days.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__debitcard__last30dayturnover_651A
debitcard,1,num_group1,Relational row-order/group identifier.,int64,order_identifier,stable_sort_key_only_not_aggregated_as_measurement,relational_order_identifier_not_predictor,exclude,row/group order identifier; used only for deterministic ordering,
debitcard,1,openingdate_857D,Debit card opening date.,string,date,parse_date_then_signed_days_from_date_decision;count_non_missing|missing_count|min|max|mean|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__debitcard__openingdate_857D
deposit,1,case_id,Stable case identifier.,int64,identifier,group_key_only,structural_identifier_not_predictor,exclude,stable row/join identifier; predictor use forbidden,
deposit,1,amount_416A,Deposit amount.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__deposit__amount_416A
deposit,1,contractenddate_991D,End date of deposit contract.,string,date,parse_date_then_signed_days_from_date_decision;count_non_missing|missing_count|min|max|mean|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__deposit__contractenddate_991D
deposit,1,num_group1,Relational row-order/group identifier.,int64,order_identifier,stable_sort_key_only_not_aggregated_as_measurement,relational_order_identifier_not_predictor,exclude,row/group order identifier; used only for deterministic ordering,
deposit,1,openingdate_313D,Deposit account opening date.,string,date,parse_date_then_signed_days_from_date_decision;count_non_missing|missing_count|min|max|mean|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__deposit__openingdate_313D
other,1,case_id,Stable case identifier.,int64,identifier,group_key_only,structural_identifier_not_predictor,exclude,stable row/join identifier; predictor use forbidden,
other,1,amtdebitincoming_4809443A,Incoming debit card transactions amount.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__other__amtdebitincoming_4809443A
other,1,amtdebitoutgoing_4809440A,Outgoing debit card transactions amount.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__other__amtdebitoutgoing_4809440A
other,1,amtdepositbalance_4809441A,Deposit balance of client.,double,numeric,count_non_missing|missing_count|min|max|mean|sum|sample_variance|first_by_num_group1|last_by_num_group1,decision_time_application_or_historical_snapshot,include,officially documented application/prior-history snapshot; no post-outcome meaning identified,d1__other__amtdepositbalance_4809441A
